,No.overall,No. inseason,Title,Directed by,Written by,Original air date,Prod.code,U.S. viewers(millions),Season
99,100,13,"""The Recombination Hypothesis""",Mark Cendrowski,Story by : Chuck LorreTeleplay by : Bill Prady & Steven Molaro,2012-01-19,3X6863,15.8,5
100,101,14,"""The Beta Test Initiation""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Eric KaplanTeleplay by : Bill Prady & Dave Goetsch & Maria Ferrari,2012-01-26,3X6864,16.1,5
101,102,15,"""The Friendship Contraction""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Bill Prady & Steven Molaro & Steve Holland,2012-02-02,3X6865,16.5,5
102,103,16,"""The Vacation Solution""",Mark Cendrowski,Story by : Chuck Lorre & Anthony Del Broccolo & Tara HernandezTeleplay by : Bill Prady & Steven Molaro & Maria Ferrari,2012-02-09,3X6866,16.2,5
103,104,17,"""The Rothman Disintegration""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Eric Kaplan & Jim Reynolds,2012-02-16,3X6867,15.6,5
104,105,18,"""The Werewolf Transformation""",Mark Cendrowski,Story by : Chuck Lorre & Todd Craig & Gary TorvinenTeleplay by : Bill Prady & Steven Molaro & Jim Reynolds & Maria Ferrari,2012-02-23,3X6868,16.2,5
105,106,19,"""The Weekend Vortex""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Tara HernandezTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2012-03-08,3X6869,15.0,5
106,107,20,"""The Transporter Malfunction""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Maria FerrariTeleplay by : Steven Molaro & Jim Reynolds & Steve Holland,2012-03-29,3X6870,13.9,5
107,108,21,"""The Hawking Excitation""",Mark Cendrowski,Story by : Bill Prady & Steven Molaro & Steve HollandTeleplay by : Chuck Lorre & Eric Kaplan & Maria Ferrari,2012-04-05,3X6871,13.2,5
108,109,22,"""The Stag Convergence""",Peter Chakos,Story by : Billy Prady & Steve Holland & Eric KaplanTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,2012-04-26,3X6872,12.6,5
109,110,23,"""The Launch Acceleration""",Mark Cendrowski,Story by : Chuck Lorre & Steven Molaro & Jim ReynoldsTeleplay by : Bill Prady & Steve Holland & Maria Ferrari,2012-05-03,3X6873,13.9,5
110,111,24,"""The Countdown Reflection""",Mark Cendrowski,Story by : Bill Prady & Eric Kaplan & Steve HollandTeleplay by : Chuck Lorre & Steven Molaro & Jim Reynolds,2012-05-10,3X6874,13.7,5
111,112,1,"""The Date Night Variable""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Maria Ferrari,2012-09-27,3X7601,15.6,6
112,113,2,"""The Decoupling Fluctuation""",Mark Cendrowski,Story by : Chuck Lorre & Jim Reynolds & Maria FerrariTeleplay by : Steven Molaro & Eric Kaplan & Steve Holland,2012-10-04,3X7602,15.1,6
113,114,3,"""The Higgs Boson Observation""",Mark Cendrowski,Story by : Steven Molaro & Dave Goetsch & Steve HollandTeleplay by : Chuck Lorre & Jim Reynolds & Maria Ferrari,2012-10-11,3X7603,14.2,6
114,115,4,"""The Re-Entry Minimization""",Mark Cendrowski,Story by : Bill Prady & Jim Reynolds & Anthony Del BroccoloTeleplay by : Chuck Lorre & Steven Molaro & Eric Kaplan,2012-10-18,3X7604,15.7,6
115,116,5,"""The Holographic Excitation""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jeremy HoweTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2012-10-25,3X7605,15.8,6
116,117,6,"""The Extract Obliteration""",Mark Cendrowski,Story by : Chuck Lorre & Bill Prady & Steve HollandTeleplay by : Steven Molaro & Jim Reynolds & Eric Kaplan,2012-11-01,3X7606,15.9,6
117,118,7,"""The Habitation Configuration""",Mark Cendrowski,Story by : Chuck Lorre & Eric Kaplan & Jim ReynoldsTeleplay by : Steven Molaro & Steve Holland & Maria Ferrari,2012-11-08,3X7607,16.6,6
